1-1-0-0,2-0-2-0,3-1-1-0,4-0-1-0,5-0-0-0,6-1-3-0,7-0-3-0,8-0-2-0,9-0-3-0,10-0-0-0,11-1-2-0,12-0-1-1
1-0-0-0,2-0-2-0,3-1-1-0,4-0-1-0,5-1-0-0,6-0-3-0,7-1-3-0,8-1-2-0,9-0-3-0,10-0-0-0,11-0-2-0,12-0-1-1
1-0-0-0,2-0-2-0,3-0-1-0,4-0-1-0,5-0-0-0,6-0-3-0,7-0-3-0,8-1-2-0,9-1-3-0,10-1-0-0,11-0-2-0,12-1-1-1
1-1-0-0,2-1-2-0,3-0-1-0,4-1-1-7,5-0-0-0,6-0-3-0,7-1-3-0,8-0-2-0,9-0-3-0,10-1-0-0,11-0-2-0,12-0-1-1
1-1-0-0,2-1-2-0,3-0-1-0,4-1-1-6,5-0-0-0,6-1-3-0,7-0-3-0,8-0-2-0,9-0-3-0,10-1-0-0,11-0-2-0,12-0-1-1
1-1-0-0,2-1-2-0,3-0-1-0,4-1-1-8,5-0-0-0,6-0-3-0,7-0-3-0,8-0-2-0,9-1-3-0,10-1-0-0,11-0-2-0,12-0-1-1
1-1-0-0,2-0-2-0,3-1-1-0,4-0-1-0,5-0-0-0,6-0-3-0,7-1-3-0,8-0-2-0,9-0-3-0,10-0-0-0,11-1-2-0,12-0-1-1
1-0-0-0,2-0-2-0,3-0-1-0,4-0-1-0,5-1-0-0,6-0-3-0,7-0-3-0,8-1-2-0,9-1-3-0,10-0-0-0,11-0-2-0,12-1-1-1
1-1-0-0,2-0-2-0,3-0-1-0,4-1-1-1,5-0-0-0,6-0-3-0,7-1-3-0,8-1-2-0,9-0-3-0,10-0-0-0,11-0-2-0,12-0-1-1
1-1-0-0,2-0-2-0,3-0-1-0,4-1-1-4,5-0-0-0,6-0-3-0,7-1-3-0,8-0-2-0,9-0-3-0,10-0-0-0,11-1-2-0,12-0-1-1
1-0-0-0,2-0-2-0,3-0-1-0,4-0-1-0,5-1-0-0,6-1-3-0,7-0-3-0,8-1-2-0,9-0-3-0,10-0-0-0,11-0-2-0,12-1-1-1
